======================================================================
              Evolutionary Snake AI - Training
======================================================================

Configuration:
  Grid: 8x8
  Population: 2000
  Generations: 5000
  Games per evaluation: 3
  Network growth: ENABLED
    Start: 1 layers, 16-24 neurons each
    Growth threshold: score >= 4
    Plateau detection: 500 generations
  Mutation rate: 0.2
  Crossover rate: 0.7

Random seed: 1768933024

Gen  130 | Best Fitness:  6302.90 | Avg Fitness:   542.31 | Best Score:  22
Gen  131 | Best Fitness:  5678.90 | Avg Fitness:   526.09 | Best Score:  22
  *** NEW RECORD: 23 (was 22) | Seed: 1786094024 ***
Gen  132 | Best Fitness:  6891.00 | Avg Fitness:   550.74 | Best Score:  23
Gen  133 | Best Fitness:  5407.10 | Avg Fitness:   527.55 | Best Score:  23
Gen  134 | Best Fitness:  5568.20 | Avg Fitness:   557.91 | Best Score:  23
Gen  135 | Best Fitness:  7908.76 | Avg Fitness:   602.25 | Best Score:  23
Gen  136 | Best Fitness:  5464.50 | Avg Fitness:   578.47 | Best Score:  23
Gen  137 | Best Fitness:  7862.50 | Avg Fitness:   613.11 | Best Score:  23
Gen  138 | Best Fitness:  6049.83 | Avg Fitness:   636.25 | Best Score:  23
Gen  139 | Best Fitness:  8406.00 | Avg Fitness:   642.14 | Best Score:  23
Gen  140 | Best Fitness:  6841.40 | Avg Fitness:   632.20 | Best Score:  23
Gen  141 | Best Fitness:  6793.30 | Avg Fitness:   634.07 | Best Score:  23
Gen  142 | Best Fitness:  5743.60 | Avg Fitness:   640.32 | Best Score:  23
Gen  143 | Best Fitness:  5130.20 | Avg Fitness:   658.75 | Best Score:  23
Gen  144 | Best Fitness:  8377.70 | Avg Fitness:   656.72 | Best Score:  23
Gen  145 | Best Fitness:  5611.50 | Avg Fitness:   662.26 | Best Score:  23
Gen  146 | Best Fitness:  6674.30 | Avg Fitness:   693.00 | Best Score:  23
Gen  147 | Best Fitness:  5684.35 | Avg Fitness:   725.26 | Best Score:  23
Gen  148 | Best Fitness:  6562.50 | Avg Fitness:   734.16 | Best Score:  23
Gen  149 | Best Fitness:  5832.60 | Avg Fitness:   754.84 | Best Score:  23
